"id","city_id","school_id","is_stopped"
"1","26101","23","FALSE"
"2","26101","26","FALSE"
"3","26101","24","FALSE"
"4","26101","30","FALSE"
"5","26101","60","FALSE"
"6","26101","1","FALSE"
"7","26101","47","FALSE"
"8","26101","29","FALSE"
"9","26101","25","FALSE"
"10","26102","23","FALSE"
"11","26102","64","FALSE"
"12","26102","25","FALSE"
"13","26102","26","FALSE"
"14","26102","31","FALSE"
"15","26102","29","FALSE"
"16","26102","30","FALSE"
"17","26103","12","FALSE"
"18","26103","42","FALSE"
"19","26103","85","FALSE"
"20","26103","8","FALSE"
"21","26103","40","FALSE"
"22","26103","34","FALSE"
"23","26103","48","FALSE"
"24","26103","67","FALSE"
"25","26104","31","FALSE"
"26","26104","56","FALSE"
"27","26104","63","FALSE"
"28","26104","44","FALSE"
"29","26104","29","FALSE"
"30","26104","76","FALSE"
"31","26105","15","FALSE"
"32","26105","69","FALSE"
"33","26106","41","FALSE"
"34","26106","39","FALSE"
"35","26106","76","FALSE"
"36","26107","84","FALSE"
"37","26107","87","FALSE"
"38","26107","66","FALSE"
"39","26107","32","FALSE"
"40","26107","33","FALSE"
"41","26108","65","FALSE"
"42","26108","4","FALSE"
"43","26108","57","FALSE"
"44","26108","38","FALSE"
"45","26108","47","FALSE"
"46","26108","5","FALSE"
"47","26108","36","FALSE"
"48","26108","61","FALSE"
"49","26108","37","FALSE"
"50","26108","43","FALSE"
"51","26108","50","FALSE"
"52","26109","73","FALSE"
"53","26109","51","FALSE"
"54","26109","17","FALSE"
"55","26109","13","FALSE"
"56","26109","86","FALSE"
"57","26109","71","FALSE"
"58","26109","72","FALSE"
"59","26109","22","FALSE"
"60","26109","46","FALSE"
"61","26109","83","FALSE"
"62","26109","78","FALSE"
"63","26109","79","FALSE"
"64","26109","80","FALSE"
"65","26109","11","FALSE"
"66","26110","2","FALSE"
"67","26110","14","FALSE"
"68","26110","27","FALSE"
"69","26110","10","FALSE"
"70","26110","81","FALSE"
"71","26110","16","FALSE"
"72","26111","75","FALSE"
"73","26111","21","FALSE"
"74","26111","7","FALSE"
"75","26111","45","FALSE"
"76","26111","82","FALSE"
"77","26111","9","FALSE"
"78","26111","18","FALSE"
"79","26111","20","FALSE"
"80","26204","3","FALSE"
"81","26204","68","FALSE"
"82","26204","58","FALSE"
"83","26204","77","FALSE"
"84","26204","28","FALSE"
"85","26204","74","FALSE"
"86","26204","59","FALSE"
"87","26204","70","FALSE"
"88","26204","35","FALSE"
"89","26204","6","FALSE"
"90","26208","19","FALSE"
"91","26208","62","FALSE"
"92","26208","49","FALSE"
"93","26209","52","FALSE"
"94","26209","53","FALSE"
"95","26209","54","FALSE"
"96","26209","55","FALSE"
